lon,lat,p_iid,p_bym,p_bym_cov
99.2559,26.658,1.0,1.0,1.0
102.2906,27.9682,1.0,1.0,1.0
100.7639,28.0043,1.0,1.0,1.0
99.2361,28.0043,0.3910179640718563,0.12065868263473054,0.17125748502994012
102.3533,29.332,1.0,1.0,1.0
100.7848,29.3696,1.0,1.0,1.0
99.2152,29.3696,1.0,1.0,1.0
97.6467,29.332,1.0,1.0,1.0
96.0818,29.2568,0.9482035928143713,0.3083832335329341,0.3020958083832335
94.5226,29.1444,0.11047904191616767,0.14550898203592813,0.13892215568862276
92.9716,28.9951,0.834131736526946,0.06227544910179641,0.06077844311377246
91.4309,28.8094,0.5494011976047904,0.3203592814371258,0.29790419161676646
104.0283,30.6363,1.0,1.0,1.0
97.5805,30.7146,1.0,1.0,1.0
95.9717,30.6363,0.9889221556886227,0.19191616766467065,0.24880239520958083
91.1932,30.1701,1.0,1.0,1.0
89.6242,29.9394,1.0,1.0,1.0
88.0707,29.6723,1.0,1.0,1.0
86.5348,29.3696,1.0,1.0,1.0
83.5231,28.6616,0.0,0.07874251497005988,0.07784431137724551
112.2648,31.0298,1.0,1.0,1.0
110.6698,31.308,1.0,1.0,1.0
109.0579,31.5483,1.0,1.0,1.0
107.4314,31.7499,1.0,1.0,1.0
104.1446,32.0343,1.0,1.0,1.0
100.8303,32.1569,1.0,1.0,1.0
95.8554,32.0343,0.8473053892215568,0.22604790419161677,0.21077844311377245
92.5686,31.7499,1.0,1.0,1.0
90.9421,31.5483,1.0,1.0,1.0
89.3302,31.308,1.0,1.0,1.0
87.7352,31.0298,1.0,1.0,1.0
86.1593,30.7146,1.0,1.0,1.0
84.6045,30.3635,1.0,1.0,1.0
83.0725,29.9778,0.2967065868263473,0.12754491017964073,0.1251497005988024
81.5651,29.5585,0.054790419161676644,0.10868263473053892,0.11137724550898204
118.9465,30.8718,1.0,1.0,1.0
117.4027,31.308,1.0,1.0,1.0
115.8324,31.7095,1.0,1.0,1.0
114.2373,32.0751,1.0,1.0,1.0
112.6193,32.4034,1.0,1.0,1.0
110.9807,32.6934,1.0,1.0,1.0
109.3236,32.944,1.0,1.0,1.0
107.6507,33.1542,1.0,1.0,1.0
105.9645,33.3234,1.0,1.0,1.0
104.2679,33.4508,1.0,1.0,1.0
102.5638,33.536,1.0,1.0,1.0
100.8551,33.5787,1.0,1.0,1.0
97.4362,33.536,1.0,1.0,1.0
94.0355,33.3234,1.0,1.0,1.0
92.3493,33.1542,1.0,1.0,1.0
