lon,lat,p_iid,p_bym,p_bym_cov
99.2559,26.658,0.17784431137724552,0.3661676646706587,0.3461077844311377
102.2906,27.9682,1.0,1.0,1.0
100.7639,28.0043,0.7251497005988023,0.6892215568862275,0.6748502994011976
99.2361,28.0043,0.18502994011976048,0.24580838323353293,0.23802395209580837
102.3533,29.332,0.5658682634730539,0.5646706586826348,0.5637724550898203
100.7848,29.3696,0.3916167664670659,0.3976047904191617,0.38922155688622756
99.2152,29.3696,0.4347305389221557,0.39580838323353296,0.37544910179640717
97.6467,29.332,0.7221556886227545,0.7332335329341317,0.7502994011976047
96.0818,29.2568,0.9167664670658683,0.5679640718562874,0.5553892215568862
94.5226,29.1444,1.0,0.9994011976047904,1.0
92.9716,28.9951,0.8868263473053892,0.7970059880239521,0.7940119760479042
91.4309,28.8094,0.8476047904191617,0.8502994011976048,0.8407185628742515
104.0283,30.6363,1.0,1.0,1.0
97.5805,30.7146,0.640119760479042,0.631437125748503,0.6580838323353293
95.9717,30.6363,0.9808383233532935,0.9589820359281437,0.9637724550898203
91.1932,30.1701,0.9281437125748503,0.8137724550898203,0.8152694610778443
89.6242,29.9394,0.994311377245509,0.9949101796407186,0.9937125748502994
88.0707,29.6723,0.9392215568862275,0.9188622754491018,0.9119760479041916
86.5348,29.3696,0.9607784431137725,0.9452095808383234,0.9452095808383234
83.5231,28.6616,0.6724550898203593,0.6634730538922156,0.6931137724550899
112.2648,31.0298,1.0,1.0,1.0
110.6698,31.308,1.0,1.0,1.0
109.0579,31.5483,1.0,1.0,1.0
107.4314,31.7499,1.0,1.0,1.0
104.1446,32.0343,0.5452095808383234,0.6266467065868263,0.5961077844311378
100.8303,32.1569,0.1754491017964072,0.18982035928143712,0.19011976047904192
95.8554,32.0343,0.9407185628742515,0.862874251497006,0.8649700598802396
92.5686,31.7499,0.9287425149700599,0.8212574850299401,0.8194610778443113
90.9421,31.5483,0.7428143712574851,0.5553892215568862,0.5526946107784431
89.3302,31.308,0.9655688622754491,0.7628742514970059,0.767065868263473
87.7352,31.0298,0.9619760479041917,0.9110778443113773,0.9107784431137724
86.1593,30.7146,0.8730538922155688,0.7455089820359282,0.7514970059880239
84.6045,30.3635,0.8164670658682635,0.8209580838323354,0.8188622754491018
83.0725,29.9778,0.968562874251497,0.8709580838323353,0.8817365269461078
81.5651,29.5585,0.9997005988023953,0.9853293413173653,0.9889221556886227
118.9465,30.8718,1.0,1.0,1.0
117.4027,31.308,1.0,1.0,1.0
115.8324,31.7095,1.0,1.0,1.0
114.2373,32.0751,1.0,1.0,1.0
112.6193,32.4034,1.0,1.0,1.0
110.9807,32.6934,1.0,1.0,1.0
109.3236,32.944,0.8892215568862275,0.8679640718562874,0.865568862275449
107.6507,33.1542,0.7146706586826347,0.6763473053892216,0.6586826347305389
105.9645,33.3234,0.5541916167664671,0.6107784431137725,0.6281437125748504
104.2679,33.4508,0.38622754491017963,0.40658682634730536,0.37664670658682636
102.5638,33.536,0.2473053892215569,0.2404191616766467,0.22395209580838324
