"","lat","long","elev"
"185",42.4993,101.0416,919.6
"186",42.4993,98.9584,1025.5
"187",42.4433,96.8779,1472.1
"188",42.3316,94.8056,951.4
"189",42.1647,92.7468,452
"190",41.9436,90.7067,1303
"191",41.6694,88.6901,1562.4
"192",41.3433,86.7014,875.1
"193",40.9669,84.7449,917.5
"194",40.5421,82.8241,968
"195",40.0707,80.9423,1051.2
"196",39.5548,79.1022,1120
"197",38.9965,77.3062,1180.2
"198",34.8858,67.5288,3186.8
"199",34.0954,66.0702,2770.2
"200",33.281,64.6599,2990.7
"201",32.4447,63.2971,1036
"202",35.2881,134.9194,390.4
"203",39.0973,126.9958,488.7
"204",39.7602,125.2532,94.3
"205",40.3842,123.459,157.1
"206",40.9669,121.6148,4.8
"207",41.5059,119.7223,513.5
"208",41.9988,117.7839,1092.4
"209",42.4433,115.8025,1412.7
"210",42.8373,113.7816,1049.8
"211",43.1789,111.7251,1005
"212",43.4664,109.6375,1017
"213",43.6983,107.5238,1029.6
"214",43.8733,105.3893,1417.7
"215",43.9906,103.2397,1513
"216",44.0493,101.0809,1212.5
"217",44.0493,98.9191,1378.8
"218",43.9906,96.7603,1179.8
"219",43.8733,94.6107,341.5
"220",43.6983,92.4762,1825.1
"221",43.4664,90.3625,2822.9
"222",43.1789,88.2749,1528.9
"223",42.8373,86.2184,3105.4
"224",42.4433,84.1975,3782.4
"225",41.9988,82.2161,1744.4
"226",41.5059,80.2777,1744.7
"227",40.9669,78.3852,2302.3
"228",40.3842,76.541,3596.1
"229",37.6652,69.6764,561.7
"230",35.2881,65.0806,2866.2
"231",34.4444,63.6525,3091.2
"232",33.5787,62.275,1373.7
"233",29.9394,57.2457,2828.5
"234",41.7788,124.2744,378.9
"235",42.3874,122.3801,102.7
"236",42.9508,120.4328,367
"237",43.4664,118.4349,725.6
"238",43.9319,116.3895,1187.3
"239",44.3448,114.3003,1087.9
"240",44.7031,112.1715,1116.7
"241",45.0047,110.008,947.1
"242",45.2482,107.8153,1052.5
"243",45.432,105.5993,1413.2
"244",45.5551,103.3665,1456.9
"245",45.6169,101.1233,1750.9
